from,to
1000371,379452
1016571,101711
1016615,1149283
101711,448646
101711,246370
101711,604828
101711,517553
101711,1016571
101711,479851
1062222,679966
1068040,1068040
1089707,528177
1089707,27781
1143861,81474
1149283,1016615
1149283,651613
1165523,693828
13751,531413
193583,651613
193583,604828
204249,786492
204249,168402
216297,1165523
216297,1016615
230202,725953
230202,517553
246370,101711
246370,879246
271544,679966
27781,721174
27781,1089707
304843,384846
304843,852717
312393,628248
33605,843335
33605,363039
33605,479851
33605,242804
33605,608311
386827,73844
389395,82497
389395,879246
389395,535212
389395,927440
389395,29460
389395,360229
414148,168402
421871,168402
421871,438519
448646,693828
479851,771352
517553,693828
517553,528177
528177,517553
528177,1089707
531413,290017
531413,386827
577982,577982
628248,312393
628248,849987
633963,849987
647703,82497
647703,879246
647703,339892
651613,1149283
651613,604828
679966,271544
683124,554382
693828,448646
693828,517553
693828,1165523
721174,27781
721174,271544
76700,1016571
76700,852717
803946,554382
803946,843335
842911,852485
849987,633963
849987,628248
852485,842911
852717,304843
856897,554382
894679,420036
943967,604828
943967,384846
968678,168402
976337,168402
