,name,nationality
0,6080,american
1,3259,indian
2,2442,mexican
3,2419,french
4,1927,norwegian
5,1843,german
6,1388,canadian
7,1225,australian
8,1186,irish
9,1124,pakistani
10,1100,polish
11,911,italian
12,787,russian
13,702,israeli
14,696,swedish
15,695,spanish
16,646,macanese
17,575,british
18,570,malaysian
19,539,belgian
20,514,turkish
21,433,argentine
22,403,ukrainian
23,390,nigerian
24,386,romanian
25,355,finnish
26,341,albanian
27,337,brazilian
28,314,moldovan
29,304,croatian
30,301,sri lankan
31,296,dutch
32,275,austrian
33,265,japanese
34,261,colombian
35,247,serbian
36,244,ghanaian
37,229,chilean
38,221,iraqi
39,220,bulgarian
40,211,afghan
41,207,czech
42,198,uruguayan
43,195,portuguese
44,192,danish
45,188,singaporean
46,186,chinese
47,184,moroccan
48,177,lebanese
49,168,syrian
50,166,lithuanian
51,162,swiss
52,162,egyptian
53,161,fijian
54,159,indonesian
55,150,ugandan
56,149,namibian
57,148,cambodian
58,146,kenyan
59,143,philippine
60,143,armenian
61,131,zimbabwean
62,128,south african
63,128,peruvian
64,125,venezuelan
65,124,bangladeshi
66,121,burmese
67,121,estonian
68,118,latvian
69,118,icelandic
70,117,filipinos
71,115,belarusian
72,112,honduran
73,111,cuban
74,99,vietnamese
75,99,hungarian
76,98,haitian
77,96,tanzanian
78,92,slovak
79,92,greek
80,88,tunisian
81,85,macedonian
82,85,iranian
83,85,palestinian
84,84,dominican
85,80,ecuadorian
86,77,poles
87,76,bolivian
88,76,libyan
89,75,croats
90,74,thai
91,74,congolese
92,73,georgian
93,72,serbs
94,70,malawian
95,67,ethiopian
96,66,guatemalan
97,65,russia
98,63,paraguayan
99,61,gabonese
100,61,manx
101,59,sudanese
102,59,maltese
103,58,algerian
104,55,mongolian
105,52,yemeni
106,50,nepali
107,49,belizean
108,45,spaniards
109,45,jamaican
110,44,soviet union
111,44,guinean
112,43,jordanian
113,42,nigerien
114,41,cypriot
115,40,angolan
116,39,south korean
117,39,tuvaluan
118,38,sierra leonean
119,37,senegalese
120,37,kingdom of hawaii
121,36,nicaraguan
122,36,zambian
123,36,montenegrin
124,35,mauritian
125,34,sammarinese
126,34,cameroonian
127,34,guyanese
128,34,finns
129,33,malagasy
130,31,soviet people
131,31,faroese
132,31,new zealand
133,30,right of abode in hong kong
134,30,ivorian
135,29,salvadoran
136,29,kuwaiti
137,28,panamanian
138,28,burkinabé
139,28,surinamese
140,28,bahraini
141,27,liberian
142,27,eritrean
143,27,mozambican
144,26,puerto ricans
145,26,scotland
146,26,rwandan
147,25,england
148,24,grenadian
149,24,bosniaks
150,23,azerbaijani
151,22,somali
152,22,greenlandic
153,20,seychellois
154,20,togolese
155,20,tajikistani
156,19,samoan
157,19,bahamian
158,17,barbadian
159,17,chadian
160,17,maldivian
161,17,bissau-guinean
162,16,gibraltar
163,16,gambian
164,15,burundian
165,14,navajo nation
166,14,citizenship of russia
167,14,scottish people
168,14,welsh people
169,14,ottoman empire
170,13,tongan
171,13,bhutanese
172,12,djiboutian
173,12,andorran
174,12,hong kong
175,11,syria
176,11,mauritanian
177,10,qatari
178,10,nauruan
